1 	Carolina 	33.0 	33.0 	46.0 	46.0 	20.0 	31.1
2 	LA Chargers 	32.5 	32.5 	38.0 	38.0 	27.0 	20.0
3 	Oakland 	31.5 	31.5 	28.0 	28.0 	35.0 	22.4
4 	Pittsburgh 	31.0 	31.0 	24.0 	24.0 	38.0 	25.4
5 	Arizona 	30.5 	30.5 	40.0 	30.5 	-- 	29.4
6 	NY Jets 	29.5 	29.5 	37.0 	22.0 	37.0 	24.2
7 	Atlanta 	29.5 	29.5 	35.0 	24.0 	35.0 	21.2
8 	Philadelphia 	29.0 	29.0 	29.0 	29.0 	29.0 	23.6
9 	San Francisco 	27.5 	27.5 	27.0 	28.0 	27.0 	14.9
10 	Indianapolis 	27.5 	27.5 	20.0 	35.0 	20.0 	20.8
11 	Denver 	27.5 	27.5 	34.0 	27.5 	-- 	22.2
12 	New England 	27.0 	27.0 	31.0 	31.0 	23.0 	28.3
13 	Detroit 	27.0 	27.0 	15.0 	15.0 	39.0 	22.4
14 	New Orleans 	23.5 	23.5 	13.0 	34.0 	13.0 	25.5
15 	Dallas 	23.0 	23.0 	27.0 	19.0 	27.0 	17.2
16 	Kansas City 	22.5 	22.5 	12.0 	33.0 	12.0 	25.3
17 	Houston 	21.0 	21.0 	19.0 	21.0 	-- 	19.9
18 	Minnesota 	21.0 	21.0 	17.0 	17.0 	25.0 	22.0
19 	Green Bay 	20.5 	20.5 	14.0 	-- 	20.5 	23.5
20 	Washington 	19.5 	19.5 	23.0 	19.5 	-- 	23.9
21 	Cincinnati 	19.5 	19.5 	16.0 	-- 	19.5 	25.6
22 	Tampa Bay 	19.0 	19.0 	7.0 	-- 	19.0 	21.4
23 	Buffalo 	19.0 	19.0 	31.0 	31.0 	7.0 	23.7
24 	Baltimore 	19.0 	19.0 	25.0 	13.0 	25.0 	20.5
25 	Jacksonville 	18.5 	18.5 	14.0 	23.0 	14.0 	23.5
26 	NY Giants 	18.0 	18.0 	16.0 	16.0 	20.0 	26.2
27 	Miami 	17.0 	17.0 	24.0 	-- 	17.0 	19.4
28 	Tennessee 	16.0 	16.0 	16.0 	16.0 	16.0 	18.7
29 	Cleveland 	15.0 	15.0 	20.0 	20.0 	10.0 	17.4
30 	Chicago 	14.0 	14.0 	14.0 	14.0 	14.0 	20.9
31 	Seattle 	7.5 	7.5 	3.0 	12.0 	3.0 	25.4
32 	LA Rams 	4.5 	4.5 	9.0 	9.0 	0.0 	17.5
